citation_id	manuscript_topic	recommended_use	citation_type	status	candidate_reference_note	example_marker
REF_UNDERGROUND_IMPORTANCE_01	underground organs as persistence, storage, propagation, regeneration systems	Introduction paragraph 1; Discussion opening	biology_background	placeholder_needs_final_reference	Use authoritative review(s) on plant underground organs, perenniality, vegetative propagation, storage organs, or bud-bank ecology.	[REF_UNDERGROUND_IMPORTANCE_01]
REF_RHIZOME_REVIEW_01	rhizome biology and genetic/developmental knowledge gap	Introduction paragraph 1 or 2	biology_background	candidate_reference_available	Chen and Coughlan TAG review on rhizome genetics/development; replace with exact formatted citation and DOI in final reference list.	[REF_RHIZOME_REVIEW_01]
REF_STORAGE_ORGANS_01	tubers, storage roots, corms, bulbs, storage-organ development	Introduction paragraph 1 and organ-diversity paragraph	biology_background	placeholder_needs_final_reference	Use reviews on tuberization, storage root development, bulb/corm biology, and crop storage organs.	[REF_STORAGE_ORGANS_01]
REF_BUD_BANK_REGENERATION_01	bud banks, belowground meristems, post-disturbance regrowth	Introduction paragraph 1; Discussion final paragraph	ecology_background	placeholder_needs_final_reference	Use classic bud-bank or clonal plant ecology references on belowground buds and disturbance recovery.	[REF_BUD_BANK_REGENERATION_01]
REF_ORGAN_NON_EQUIVALENCE_01	underground organs arise from different developmental contexts	Introduction paragraph 2; Figure 4 caption; Discussion mechanism paragraph	developmental_background	placeholder_needs_final_reference	Use organ-specific developmental literature: rhizome stem origin, storage root root origin, stem tuber/root tuber distinctions.	[REF_ORGAN_NON_EQUIVALENCE_01]
REF_PLANT_REGENERATION_01	plant regeneration, meristem reactivation, developmental plasticity	Introduction paragraph 2; Results toolkit model; Discussion mechanism paragraph	regeneration_background	placeholder_needs_final_reference	Use major plant regeneration reviews, e.g. Sugimoto/Ikeuchi/Roudier/related review literature.	[REF_PLANT_REGENERATION_01]
REF_HORMONE_DORMANCY_01	hormonal control of growth, dormancy, developmental switching	Results 4-6; Discussion recurrent module interpretation	hormone_development_background	placeholder_needs_final_reference	Use reviews on GA, auxin, cytokinin, ABA, dormancy, bud outgrowth, tuberization, rhizome development.	[REF_HORMONE_DORMANCY_01]
REF_STRESS_RESILIENCE_01	stress survival, hypoxia, abiotic stress, underground persistence	Results 4-7; Discussion mechanism paragraph	stress_background	placeholder_needs_final_reference	Use references on plant stress resilience, hypoxia survival, dormancy, and stress-associated persistence.	[REF_STRESS_RESILIENCE_01]
REF_CELL_WALL_REMODELING_01	cell-wall remodeling, tissue expansion, structural reorganization	Results 4-7; Discussion recurrent module interpretation	developmental_background	placeholder_needs_final_reference	Use reviews on expansins/XTH/cell-wall remodeling in organ growth and storage-organ development.	[REF_CELL_WALL_REMODELING_01]
REF_DEEP_HOMOLOGY_01	module-level deep homology	Introduction paragraph 2; Results toolkit model; Discussion mechanism paragraph	evolutionary_theory	candidate_reference_available	Use Shubin, Tabin, and Carroll 2009 Nature deep homology paper or similar authoritative references.	[REF_DEEP_HOMOLOGY_01]
