anchor_id	module_id	anchor_family	representative_symbols	biological_rationale	actionable_use	claim_level
ANCHOR_MERISTEM_001	meristem_regrowth	KNOX / STM-like shoot meristem regulators	STM; KN1; OSH1; KNOX	Maintains or reactivates meristematic growth programs relevant to rhizome and shoot-axis regeneration.	Prioritize orthogroups containing KNOX/STM-like genes in species with rhizome or shoot-derived underground organs.	known developmental anchor; not UGO-specific validation
ANCHOR_MERISTEM_002	meristem_regrowth	WOX / WUS-related stem cell and regeneration regulators	WUS; WOX; WOX11; WOX5	Links regeneration, stem-cell maintenance, and organogenic competence.	Prioritize WOX-family orthogroups as candidate regulators of regrowth potential.	known regeneration/development anchor; not UGO-specific validation
ANCHOR_MERISTEM_003	meristem_regrowth	LBD lateral organ and root developmental regulators	LBD; LBD16; LBD29	Connects root-associated developmental reprogramming and organ initiation.	Prioritize LBD-family orthogroups in storage-root and root/hypocotyl systems.	known developmental anchor
ANCHOR_HORMONE_001	hormone_regulation	auxin transport and response	PIN; AUX1; LAX; ARF; AUX/IAA; YUCCA	Auxin gradients and responses regulate organ initiation, polarity, and developmental switching.	Prioritize auxin-related orthogroups as candidates for underground organ initiation and patterning.	known hormone-development anchor
ANCHOR_HORMONE_002	hormone_regulation	gibberellin metabolism and signaling	GA20ox; GA2ox; GA3ox; DELLA; GID1	GA pathways regulate growth state transitions, elongation, dormancy, and storage-organ development.	Prioritize GA-related orthogroups for rhizome elongation, tuberization, and growth-state switching hypotheses.	known hormone-development anchor
ANCHOR_HORMONE_003	hormone_regulation	cytokinin and branching/growth reactivation	IPT; LOG; CKX; AHK; ARR	Cytokinin-related pathways regulate meristem activity and bud outgrowth.	Prioritize cytokinin-related orthogroups for regrowth and bud activation hypotheses.	known hormone-development anchor
ANCHOR_HORMONE_004	hormone_regulation	branching and bud-growth regulators	TB1; BRC1; MAX; D14; CCD7; CCD8	Branching and bud-growth regulators connect dormancy, outgrowth, and underground shoot-system architecture.	Prioritize BRC1/TB1/MAX-related orthogroups in rhizomatous and clonal systems.	known branching/dormancy anchor
ANCHOR_STRESS_001	stress_resilience	abiotic stress transcription factors	DREB; ERF; NAC; WRKY; bZIP	Stress-responsive transcription factors support survival under drought, cold, hypoxia, and other adverse conditions.	Prioritize stress-TF orthogroups as candidates for underground persistence and post-stress regrowth.	known stress-response anchor
ANCHOR_STRESS_002	stress_resilience	ABA and dormancy-associated stress signaling	PYR; PYL; PP2C; SnRK2; ABI3; ABI5	ABA-related signaling links stress responses, dormancy, and growth restraint.	Prioritize ABA-related orthogroups for survival/dormancy modules in underground organs.	known stress/dormancy anchor
ANCHOR_TF_001	developmental_tf	MADS-box developmental regulators	MADS; SOC1; SVP; AP1; AGL	MADS-box genes regulate developmental transitions and organ identity programs.	Prioritize MADS-family orthogroups as candidate developmental-state regulators.	known developmental TF anchor
ANCHOR_TF_002	developmental_tf	GRAS / DELLA / SHR-SCR regulatory axis	GRAS; DELLA; SHR; SCR	GRAS-family regulators connect hormonal response, root patterning, and developmental control.	Prioritize GRAS-family orthogroups in root-derived and developmental-switching contexts.	known developmental TF anchor
ANCHOR_CELLWALL_001	cell_wall_remodeling	cell-wall loosening and expansion	EXP; expansin; XTH; XET	Cell-wall remodeling supports organ expansion, elongation, and structural reorganization.	Prioritize expansin/XTH orthogroups as structural-remodeling candidates.	known structural-remodeling anchor
ANCHOR_CELLWALL_002	cell_wall_remodeling	pectin modification and wall plasticity	PME; PMEI; PG; PL	Pectin modification contributes to tissue plasticity and storage-organ expansion.	Prioritize pectin-remodeling orthogroups in tuber and storage-root systems.	known structural-remodeling anchor
ANCHOR_STORAGE_001	future_storage_metabolism	carbohydrate transport and storage metabolism	SWEET; SUT; SUS; AGPase; GBSS	Storage metabolism is biologically important but not yet a primary module in the current five-module UGO mechanism layer.	Use as an explicit future expansion target for storage-root and tuber-focused UGO versions.	future expansion anchor
