section	target_text	replacement_text	status
Introduction	Underground organs are central to the persistence and productivity of many plant lineages.	Underground organs are central to the persistence and productivity of many plant lineages [REF_UNDERGROUND_IMPORTANCE_01; REF_BUD_BANK_REGENERATION_01].	applied_or_already_present
Introduction	Rhizomes, tubers, storage roots, corms, bulbs, root crowns, and related structures allow plants to survive unfavorable seasons, store resources, propagate vegetatively, and regenerate after disturbance.	Rhizomes, tubers, storage roots, corms, bulbs, root crowns, and related structures allow plants to survive unfavorable seasons, store resources, propagate vegetatively, and regenerate after disturbance [REF_RHIZOME_REVIEW_01; REF_STORAGE_ORGANS_01].	applied_or_already_present
Introduction	A central difficulty is that underground organs are morphologically and developmentally diverse.	A central difficulty is that underground organs are morphologically and developmentally diverse [REF_ORGAN_NON_EQUIVALENCE_01].	applied_or_already_present
Introduction	These shared demands suggest that underground-organ evolution may be better studied at the level of conserved functional modules than at the level of organ morphology alone.	These shared demands suggest that underground-organ evolution may be better studied at the level of conserved functional modules than at the level of organ morphology alone [REF_DEEP_HOMOLOGY_01; REF_CONVERGENCE_01; REF_REGULATORY_REDEPLOYMENT_01].	applied_or_already_present
Introduction	Recent advances in comparative genomics, transcriptomics, and orthogroup-based analysis create an opportunity to build a broader framework for underground-organ biology.	Recent advances in comparative genomics, transcriptomics, and orthogroup-based analysis create an opportunity to build a broader framework for underground-organ biology [REF_COMPARATIVE_GENOMICS_01; REF_ORTHOFINDER_01].	applied_or_already_present
Results	In this framework, meristem/regrowth modules contribute to growth reactivation and regenerative potential; stress-resilience modules support persistence under unfavorable conditions; hormone-related modules mediate developmental-state switching; developmental transcription-factor modules provide regulatory control; and cell-wall remodeling modules contribute to tissue expansion and structural reorganization.	In this framework, meristem/regrowth modules contribute to growth reactivation and regenerative potential [REF_PLANT_REGENERATION_01]; stress-resilience modules support persistence under unfavorable conditions [REF_STRESS_RESILIENCE_01]; hormone-related modules mediate developmental-state switching [REF_HORMONE_DORMANCY_01]; developmental transcription-factor modules provide regulatory control; and cell-wall remodeling modules contribute to tissue expansion and structural reorganization [REF_CELL_WALL_REMODELING_01].	applied_or_already_present
Discussion	This shifts the comparative question from whether underground organs are strictly homologous to whether they repeatedly deploy similar module-level programs.	This shifts the comparative question from whether underground organs are strictly homologous to whether they repeatedly deploy similar module-level programs [REF_DEEP_HOMOLOGY_01; REF_CONVERGENCE_01; REF_REGULATORY_REDEPLOYMENT_01].	applied_or_already_present
Methods	UGO-Omics connects species-level resources through orthogroup-based mapping.	UGO-Omics connects species-level resources through orthogroup-based mapping [REF_ORTHOFINDER_01; REF_COMPARATIVE_GENOMICS_01].	applied_or_already_present
Methods	A BUSCO-based species tree was reconstructed for the 11-species analytical backbone using protein sequences and the embryophyta_odb10 lineage dataset.	A BUSCO-based species tree was reconstructed for the 11-species analytical backbone using protein sequences and the embryophyta_odb10 lineage dataset [REF_BUSCO_01; REF_MAFFT_01; REF_TRIMAL_01; REF_IQTREE_01; REF_MODELFINDER_01; REF_UFBOOT_01].	applied_or_already_present
Methods	Sequence-to-UGO, Gene-list-to-UGO, Resource Finder, Organ Kits, Demo Results, and Use Cases were implemented to make the platform usable as a discovery resource rather than as a static data viewer.	Sequence-to-UGO, Gene-list-to-UGO, Resource Finder, Organ Kits, Demo Results, and Use Cases were implemented to make the platform usable as a discovery resource rather than as a static data viewer [REF_DIAMOND_01].	applied_or_already_present
Data availability	The UGO-Omics web interface, figure source tables, JSON metadata files, manuscript support files, example inputs, example outputs, and researcher-facing toolkits are provided through the public repository and final release package.	The UGO-Omics web interface, figure source tables, JSON metadata files, manuscript support files, example inputs, example outputs, and researcher-facing toolkits are provided through the public repository and final release package [REF_UGO_REPOSITORY_01].	applied_or_already_present
Data availability	Large sequence databases and external raw data should be distributed separately when needed to avoid repository size limitations.	Large sequence databases and external raw data should be distributed separately when needed to avoid repository size limitations [REF_DATA_SOURCES_01].	applied_or_already_present
