known_id	known_symbol_or_family	representative_symbols	biological_area	expected_UGO_module	expected_anchor_id	known_regulator_type	relevance_to_underground_organs
KNOWN_MERISTEM_STM_KNOX	STM / KNOX	STM; KN1; OSH1; KNOX	shoot meristem maintenance and underground shoot regrowth	meristem_regrowth	ANCHOR_MERISTEM_001	meristem regulator	supports shoot meristem identity and repeated growth programs relevant to rhizome-like shoot systems
KNOWN_MERISTEM_WUS_WOX	WUS / WOX	WUS; WOX; WOX11; WOX5	stem-cell maintenance and regeneration competence	meristem_regrowth	ANCHOR_MERISTEM_002	regeneration and stem-cell regulator	supports regrowth competence and organogenic potential
KNOWN_ROOT_LBD	LBD	LBD; LBD16; LBD29	root-associated developmental reprogramming	meristem_regrowth	ANCHOR_MERISTEM_003	lateral organ and root-development regulator	relevant to root-derived or root-hypocotyl storage systems
KNOWN_AUXIN_TRANSPORT_RESPONSE	auxin transport and response	PIN; AUX1; LAX; ARF; AUX/IAA; YUCCA	organ initiation, polarity, and developmental patterning	hormone_regulation	ANCHOR_HORMONE_001	hormone pathway	supports underground organ initiation, patterning, and developmental switching hypotheses
KNOWN_GA_METABOLISM_SIGNALING	gibberellin metabolism and signaling	GA20ox; GA2ox; GA3ox; DELLA; GID1	growth-state switching, elongation, and dormancy-related control	hormone_regulation	ANCHOR_HORMONE_002	hormone pathway	relevant to rhizome elongation, tuberization, and growth-state transitions
KNOWN_CYTOKININ_BUD_ACTIVITY	cytokinin metabolism and signaling	IPT; LOG; CKX; AHK; ARR	meristem activity and bud outgrowth	hormone_regulation	ANCHOR_HORMONE_003	hormone pathway	supports bud activation and underground regrowth hypotheses
KNOWN_BRANCHING_BUD_OUTGROWTH	TB1 / BRC1 / MAX	TB1; BRC1; MAX; D14; CCD7; CCD8	branching, bud activity, and dormancy-associated outgrowth control	hormone_regulation	ANCHOR_HORMONE_004	branching and bud-growth regulator	relevant to clonal shoot-system architecture and rhizomatous growth
KNOWN_STRESS_TF	stress-associated transcription factors	DREB; ERF; NAC; WRKY; bZIP	abiotic stress response and survival	stress_resilience	ANCHOR_STRESS_001	stress-response regulator	supports persistence and post-stress regrowth hypotheses
KNOWN_ABA_DORMANCY_STRESS	ABA signaling and dormancy-associated stress control	PYR; PYL; PP2C; SnRK2; ABI3; ABI5	stress signaling, dormancy, and growth restraint	stress_resilience	ANCHOR_STRESS_002	stress and dormancy pathway	supports survival and dormancy-related underground-organ hypotheses
KNOWN_MADS_DEVELOPMENTAL_SWITCH	MADS-box developmental regulators	MADS; SOC1; SVP; AP1; AGL	developmental transition and organ identity	developmental_tf	ANCHOR_TF_001	developmental transcription factor	supports developmental-state transition hypotheses in tuber and storage-organ systems
KNOWN_GRAS_DEVELOPMENTAL_CONTROL	GRAS / DELLA / SHR-SCR	GRAS; DELLA; SHR; SCR	root patterning, hormone response, and developmental regulation	developmental_tf	ANCHOR_TF_002	developmental transcription factor	relevant to root-derived storage organs and developmental switching
KNOWN_EXPANSIN_XTH_EXPANSION	EXP / XTH	EXP; expansin; XTH; XET	cell-wall loosening, expansion, and tissue growth	cell_wall_remodeling	ANCHOR_CELLWALL_001	structural-remodeling family	supports organ expansion, elongation, and tissue remodeling hypotheses
KNOWN_PECTIN_REMODELING	pectin remodeling	PME; PMEI; PG; PL	wall plasticity and tissue reorganization	cell_wall_remodeling	ANCHOR_CELLWALL_002	structural-remodeling family	supports storage-root and tuber expansion hypotheses
KNOWN_STORAGE_METABOLISM	carbohydrate transport and storage metabolism	SWEET; SUT; SUS; AGPase; GBSS	storage metabolism and carbohydrate allocation	future_storage_metabolism	ANCHOR_STORAGE_001	storage metabolism family	future expansion target for tuber and storage-root systems
