anchor_id	module_id	module_label	anchor_family	representative_symbols	module_support_score	species_breadth_score	cross_clade_score	benchmark_support_score	biological_interpretability_score	anchor_support_score	UGO_actionability_score	actionability_tier	actionable_hypothesis	claim_level
ANCHOR_TF_002	developmental_tf	Developmental transcriptional regulation	GRAS / DELLA / SHR-SCR regulatory axis	GRAS; DELLA; SHR; SCR	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Tier 1 actionable candidate family	Prioritize GRAS-family orthogroups in root-derived and developmental-switching contexts.	known developmental TF anchor
ANCHOR_TF_001	developmental_tf	Developmental transcriptional regulation	MADS-box developmental regulators	MADS; SOC1; SVP; AP1; AGL	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Tier 1 actionable candidate family	Prioritize MADS-family orthogroups as candidate developmental-state regulators.	known developmental TF anchor
ANCHOR_HORMONE_001	hormone_regulation	Hormone-related developmental switching	auxin transport and response	PIN; AUX1; LAX; ARF; AUX/IAA; YUCCA	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Tier 1 actionable candidate family	Prioritize auxin-related orthogroups as candidates for underground organ initiation and patterning.	known hormone-development anchor
ANCHOR_HORMONE_004	hormone_regulation	Hormone-related developmental switching	branching and bud-growth regulators	TB1; BRC1; MAX; D14; CCD7; CCD8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Tier 1 actionable candidate family	Prioritize BRC1/TB1/MAX-related orthogroups in rhizomatous and clonal systems.	known branching/dormancy anchor
ANCHOR_HORMONE_003	hormone_regulation	Hormone-related developmental switching	cytokinin and branching/growth reactivation	IPT; LOG; CKX; AHK; ARR	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Tier 1 actionable candidate family	Prioritize cytokinin-related orthogroups for regrowth and bud activation hypotheses.	known hormone-development anchor
ANCHOR_HORMONE_002	hormone_regulation	Hormone-related developmental switching	gibberellin metabolism and signaling	GA20ox; GA2ox; GA3ox; DELLA; GID1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Tier 1 actionable candidate family	Prioritize GA-related orthogroups for rhizome elongation, tuberization, and growth-state switching hypotheses.	known hormone-development anchor
ANCHOR_MERISTEM_001	meristem_regrowth	Meristem/regrowth	KNOX / STM-like shoot meristem regulators	STM; KN1; OSH1; KNOX	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Tier 1 actionable candidate family	Prioritize orthogroups containing KNOX/STM-like genes in species with rhizome or shoot-derived underground organs.	known developmental anchor; not UGO-specific validation
ANCHOR_MERISTEM_003	meristem_regrowth	Meristem/regrowth	LBD lateral organ and root developmental regulators	LBD; LBD16; LBD29	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Tier 1 actionable candidate family	Prioritize LBD-family orthogroups in storage-root and root/hypocotyl systems.	known developmental anchor
ANCHOR_MERISTEM_002	meristem_regrowth	Meristem/regrowth	WOX / WUS-related stem cell and regeneration regulators	WUS; WOX; WOX11; WOX5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Tier 1 actionable candidate family	Prioritize WOX-family orthogroups as candidate regulators of regrowth potential.	known regeneration/development anchor; not UGO-specific validation
ANCHOR_STRESS_001	stress_resilience	Stress resilience	abiotic stress transcription factors	DREB; ERF; NAC; WRKY; bZIP	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Tier 1 actionable candidate family	Prioritize stress-TF orthogroups as candidates for underground persistence and post-stress regrowth.	known stress-response anchor
ANCHOR_STRESS_002	stress_resilience	Stress resilience	ABA and dormancy-associated stress signaling	PYR; PYL; PP2C; SnRK2; ABI3; ABI5	1.0	1.0	1.0	1.0	1.0	0.6	0.96	Tier 1 actionable candidate family	Prioritize ABA-related orthogroups for survival/dormancy modules in underground organs.	known stress/dormancy anchor
ANCHOR_CELLWALL_001	cell_wall_remodeling	Cell-wall remodeling	cell-wall loosening and expansion	EXP; expansin; XTH; XET	0.8	0.7	1.0	1.0	0.9	1.0	0.88	Tier 2 actionable candidate family	Prioritize expansin/XTH orthogroups as structural-remodeling candidates.	known structural-remodeling anchor
ANCHOR_CELLWALL_002	cell_wall_remodeling	Cell-wall remodeling	pectin modification and wall plasticity	PME; PMEI; PG; PL	0.8	0.7	1.0	1.0	0.9	1.0	0.88	Tier 2 actionable candidate family	Prioritize pectin-remodeling orthogroups in tuber and storage-root systems.	known structural-remodeling anchor
ANCHOR_STORAGE_001	future_storage_metabolism	Storage metabolism expansion target	carbohydrate transport and storage metabolism	SWEET; SUT; SUS; AGPase; GBSS	0.3	0.0	0.0	0.0	1.0	0.8	0.255	Future expansion candidate family	Use as an explicit future expansion target for storage-root and tuber-focused UGO versions.	future expansion anchor
