anchor_id	module_id	module_label	anchor_family	representative_symbols	module_support_score	species_breadth_score	cross_clade_score	benchmark_support_score	biological_interpretability_score	anchor_specificity_score	use_case_relevance_score	UGO_actionability_score_v4_5_1	actionability_tier_v4_5_1	actionable_hypothesis	claim_level	calibration_note
ANCHOR_HORMONE_001	hormone_regulation	Hormone-related developmental switching	auxin transport and response	PIN; AUX1; LAX; ARF; AUX/IAA; YUCCA	0.95	0.96	0.95	0.95	0.97	0.88	0.92	0.94	Tier 1 high-actionability candidate family	Prioritize auxin-related orthogroups as candidates for underground organ initiation and patterning.	known hormone-development anchor	calibrated to avoid perfect-score saturation; candidate-family prioritization only
ANCHOR_HORMONE_004	hormone_regulation	Hormone-related developmental switching	branching and bud-growth regulators	TB1; BRC1; MAX; D14; CCD7; CCD8	0.95	0.96	0.95	0.95	0.97	0.89	0.9	0.94	Tier 1 high-actionability candidate family	Prioritize BRC1/TB1/MAX-related orthogroups in rhizomatous and clonal systems.	known branching/dormancy anchor	calibrated to avoid perfect-score saturation; candidate-family prioritization only
ANCHOR_HORMONE_002	hormone_regulation	Hormone-related developmental switching	gibberellin metabolism and signaling	GA20ox; GA2ox; GA3ox; DELLA; GID1	0.95	0.96	0.95	0.95	0.97	0.91	0.94	0.94	Tier 1 high-actionability candidate family	Prioritize GA-related orthogroups for rhizome elongation, tuberization, and growth-state switching hypotheses.	known hormone-development anchor	calibrated to avoid perfect-score saturation; candidate-family prioritization only
ANCHOR_MERISTEM_001	meristem_regrowth	Meristem/regrowth	KNOX / STM-like shoot meristem regulators	STM; KN1; OSH1; KNOX	0.96	0.96	0.95	0.94	0.96	0.92	0.95	0.94	Tier 1 high-actionability candidate family	Prioritize orthogroups containing KNOX/STM-like genes in species with rhizome or shoot-derived underground organs.	known developmental anchor; not UGO-specific validation	calibrated to avoid perfect-score saturation; candidate-family prioritization only
ANCHOR_MERISTEM_003	meristem_regrowth	Meristem/regrowth	LBD lateral organ and root developmental regulators	LBD; LBD16; LBD29	0.96	0.96	0.95	0.94	0.96	0.86	0.88	0.94	Tier 1 high-actionability candidate family	Prioritize LBD-family orthogroups in storage-root and root/hypocotyl systems.	known developmental anchor	calibrated to avoid perfect-score saturation; candidate-family prioritization only
ANCHOR_MERISTEM_002	meristem_regrowth	Meristem/regrowth	WOX / WUS-related stem cell and regeneration regulators	WUS; WOX; WOX11; WOX5	0.96	0.96	0.95	0.94	0.96	0.9	0.93	0.94	Tier 1 high-actionability candidate family	Prioritize WOX-family orthogroups as candidate regulators of regrowth potential.	known regeneration/development anchor; not UGO-specific validation	calibrated to avoid perfect-score saturation; candidate-family prioritization only
ANCHOR_HORMONE_003	hormone_regulation	Hormone-related developmental switching	cytokinin and branching/growth reactivation	IPT; LOG; CKX; AHK; ARR	0.95	0.96	0.95	0.95	0.97	0.84	0.86	0.938	Tier 1 high-actionability candidate family	Prioritize cytokinin-related orthogroups for regrowth and bud activation hypotheses.	known hormone-development anchor	calibrated to avoid perfect-score saturation; candidate-family prioritization only
ANCHOR_TF_002	developmental_tf	Developmental transcriptional regulation	GRAS / DELLA / SHR-SCR regulatory axis	GRAS; DELLA; SHR; SCR	0.93	0.95	0.94	0.93	0.91	0.87	0.88	0.924	Tier 1 high-actionability candidate family	Prioritize GRAS-family orthogroups in root-derived and developmental-switching contexts.	known developmental TF anchor	calibrated to avoid perfect-score saturation; candidate-family prioritization only
ANCHOR_TF_001	developmental_tf	Developmental transcriptional regulation	MADS-box developmental regulators	MADS; SOC1; SVP; AP1; AGL	0.93	0.95	0.94	0.93	0.91	0.83	0.84	0.917	Tier 1 high-actionability candidate family	Prioritize MADS-family orthogroups as candidate developmental-state regulators.	known developmental TF anchor	calibrated to avoid perfect-score saturation; candidate-family prioritization only
ANCHOR_STRESS_001	stress_resilience	Stress resilience	abiotic stress transcription factors	DREB; ERF; NAC; WRKY; bZIP	0.92	0.94	0.94	0.92	0.9	0.82	0.82	0.908	Tier 1 high-actionability candidate family	Prioritize stress-TF orthogroups as candidates for underground persistence and post-stress regrowth.	known stress-response anchor	calibrated to avoid perfect-score saturation; candidate-family prioritization only
