known_id	known_symbol_or_family	representative_symbols	expected_UGO_module	expected_anchor_id	matched_anchor_family	recovered_by_known_anchor_panel	recovered_by_calibrated_actionability_ranking	UGO_actionability_score_v4_5_1	actionability_tier_v4_5_1	recovery_status	claim_level
KNOWN_MERISTEM_STM_KNOX	STM / KNOX	STM; KN1; OSH1; KNOX	meristem_regrowth	ANCHOR_MERISTEM_001	KNOX / STM-like shoot meristem regulators	yes	yes	0.94	Tier 1 high-actionability candidate family	recovered_in_actionability_layer	known regulator or gene-family recovery; candidate-prioritization support
KNOWN_MERISTEM_WUS_WOX	WUS / WOX	WUS; WOX; WOX11; WOX5	meristem_regrowth	ANCHOR_MERISTEM_002	WOX / WUS-related stem cell and regeneration regulators	yes	yes	0.94	Tier 1 high-actionability candidate family	recovered_in_actionability_layer	known regulator or gene-family recovery; candidate-prioritization support
KNOWN_ROOT_LBD	LBD	LBD; LBD16; LBD29	meristem_regrowth	ANCHOR_MERISTEM_003	LBD lateral organ and root developmental regulators	yes	yes	0.94	Tier 1 high-actionability candidate family	recovered_in_actionability_layer	known regulator or gene-family recovery; candidate-prioritization support
KNOWN_AUXIN_TRANSPORT_RESPONSE	auxin transport and response	PIN; AUX1; LAX; ARF; AUX/IAA; YUCCA	hormone_regulation	ANCHOR_HORMONE_001	auxin transport and response	yes	yes	0.94	Tier 1 high-actionability candidate family	recovered_in_actionability_layer	known regulator or gene-family recovery; candidate-prioritization support
KNOWN_GA_METABOLISM_SIGNALING	gibberellin metabolism and signaling	GA20ox; GA2ox; GA3ox; DELLA; GID1	hormone_regulation	ANCHOR_HORMONE_002	gibberellin metabolism and signaling	yes	yes	0.94	Tier 1 high-actionability candidate family	recovered_in_actionability_layer	known regulator or gene-family recovery; candidate-prioritization support
KNOWN_CYTOKININ_BUD_ACTIVITY	cytokinin metabolism and signaling	IPT; LOG; CKX; AHK; ARR	hormone_regulation	ANCHOR_HORMONE_003	cytokinin and branching/growth reactivation	yes	yes	0.938	Tier 1 high-actionability candidate family	recovered_in_actionability_layer	known regulator or gene-family recovery; candidate-prioritization support
KNOWN_BRANCHING_BUD_OUTGROWTH	TB1 / BRC1 / MAX	TB1; BRC1; MAX; D14; CCD7; CCD8	hormone_regulation	ANCHOR_HORMONE_004	branching and bud-growth regulators	yes	yes	0.94	Tier 1 high-actionability candidate family	recovered_in_actionability_layer	known regulator or gene-family recovery; candidate-prioritization support
KNOWN_STRESS_TF	stress-associated transcription factors	DREB; ERF; NAC; WRKY; bZIP	stress_resilience	ANCHOR_STRESS_001	abiotic stress transcription factors	yes	yes	0.908	Tier 1 high-actionability candidate family	recovered_in_actionability_layer	known regulator or gene-family recovery; candidate-prioritization support
KNOWN_ABA_DORMANCY_STRESS	ABA signaling and dormancy-associated stress control	PYR; PYL; PP2C; SnRK2; ABI3; ABI5	stress_resilience	ANCHOR_STRESS_002	ABA and dormancy-associated stress signaling	yes	yes	0.904	Tier 1 high-actionability candidate family	recovered_in_actionability_layer	known regulator or gene-family recovery; candidate-prioritization support
KNOWN_MADS_DEVELOPMENTAL_SWITCH	MADS-box developmental regulators	MADS; SOC1; SVP; AP1; AGL	developmental_tf	ANCHOR_TF_001	MADS-box developmental regulators	yes	yes	0.917	Tier 1 high-actionability candidate family	recovered_in_actionability_layer	known regulator or gene-family recovery; candidate-prioritization support
KNOWN_GRAS_DEVELOPMENTAL_CONTROL	GRAS / DELLA / SHR-SCR	GRAS; DELLA; SHR; SCR	developmental_tf	ANCHOR_TF_002	GRAS / DELLA / SHR-SCR regulatory axis	yes	yes	0.924	Tier 1 high-actionability candidate family	recovered_in_actionability_layer	known regulator or gene-family recovery; candidate-prioritization support
KNOWN_EXPANSIN_XTH_EXPANSION	EXP / XTH	EXP; expansin; XTH; XET	cell_wall_remodeling	ANCHOR_CELLWALL_001	cell-wall loosening and expansion	yes	yes	0.808	Tier 2 actionable candidate family	recovered_in_actionability_layer	known regulator or gene-family recovery; candidate-prioritization support
KNOWN_PECTIN_REMODELING	pectin remodeling	PME; PMEI; PG; PL	cell_wall_remodeling	ANCHOR_CELLWALL_002	pectin modification and wall plasticity	yes	yes	0.804	Tier 2 actionable candidate family	recovered_in_actionability_layer	known regulator or gene-family recovery; candidate-prioritization support
KNOWN_STORAGE_METABOLISM	carbohydrate transport and storage metabolism	SWEET; SUT; SUS; AGPase; GBSS	future_storage_metabolism	ANCHOR_STORAGE_001	carbohydrate transport and storage metabolism	yes	yes	0.306	Future expansion candidate family	recovered_in_actionability_layer	known regulator or gene-family recovery; candidate-prioritization support
