anchor_id	module_id	anchor_family	representative_symbols	project_text_hit_count	project_text_hit_files	scan_interpretation
ANCHOR_MERISTEM_001	meristem_regrowth	KNOX / STM-like shoot meristem regulators	STM; KN1; OSH1; KNOX	163	resources/source_tables/Figure5_known_category_benchmark_panel.tsv;resources/source_tables/Figure_7_known_module_benchmark_recovery_source.tsv;resources/source_tables/UGO_v2_6_0_known_gene_benchmark_panel_v1.tsv;docs/json/known_module_recovery_by_benchmark_module_v1.json;docs/json/known_module_recovery_by_candidate_v1.json;docs/json/orthogroup_browser_top_v2.json;docs/json/ugo_global_search_index_v1.json;docs/json/ugo_orthogroup_detail_v1.json;docs/json/ugo_score_explorer_v1.json;docs/json/ugo_v1_8_gene_to_ugo_v1.json;data/json/known_module_recovery_by_benchmark_module_v1.json;data/json/known_module_recovery_by_candidate_v1.json;data/json/orthogroup_browser_top_v2.json;resources/source_tables/Figure5_known_category_benchmark_panel.tsv;resources/source_tables/Figure_7_known_module_benchmark_recovery_source.tsv;resources/source_tables/UGO_v2_6_0_known_gene_benchmark_panel_v1.tsv;resources/supplementary_tables/Supplementary_Table_S8a_known_module_benchmark_seed_public_ready_v1.tsv;resources/supplementary_tables/Supplementary_Table_S8b_known_module_benchmark_recovery_public_ready_v1.tsv	anchor terms detected in current resource text
ANCHOR_MERISTEM_002	meristem_regrowth	WOX / WUS-related stem cell and regeneration regulators	WUS; WOX; WOX11; WOX5	117	resources/source_tables/Figure5_known_category_benchmark_panel.tsv;resources/source_tables/Figure_7_known_module_benchmark_recovery_source.tsv;resources/source_tables/UGO_v2_6_0_known_gene_benchmark_panel_v1.tsv;docs/json/known_module_recovery_by_benchmark_module_v1.json;docs/json/known_module_recovery_by_candidate_v1.json;docs/json/ugo_global_search_index_v1.json;docs/json/ugo_orthogroup_detail_v1.json;docs/json/ugo_score_explorer_v1.json;docs/json/ugo_v1_8_gene_to_ugo_v1.json;data/json/known_module_recovery_by_benchmark_module_v1.json;data/json/known_module_recovery_by_candidate_v1.json;resources/source_tables/Figure5_known_category_benchmark_panel.tsv;resources/source_tables/Figure_7_known_module_benchmark_recovery_source.tsv;resources/source_tables/UGO_v2_6_0_known_gene_benchmark_panel_v1.tsv;resources/supplementary_tables/Supplementary_Table_S8a_known_module_benchmark_seed_public_ready_v1.tsv;resources/supplementary_tables/Supplementary_Table_S8b_known_module_benchmark_recovery_public_ready_v1.tsv	anchor terms detected in current resource text
ANCHOR_MERISTEM_003	meristem_regrowth	LBD lateral organ and root developmental regulators	LBD; LBD16; LBD29	60	resources/source_tables/Figure_7_known_module_benchmark_recovery_source.tsv;docs/json/known_module_recovery_by_benchmark_module_v1.json;docs/json/ugo_global_search_index_v1.json;docs/json/ugo_v1_8_gene_to_ugo_v1.json;data/json/known_module_recovery_by_benchmark_module_v1.json;resources/source_tables/Figure_7_known_module_benchmark_recovery_source.tsv;resources/supplementary_tables/Supplementary_Table_S8a_known_module_benchmark_seed_public_ready_v1.tsv;resources/supplementary_tables/Supplementary_Table_S8b_known_module_benchmark_recovery_public_ready_v1.tsv	anchor terms detected in current resource text
ANCHOR_HORMONE_001	hormone_regulation	auxin transport and response	PIN; AUX1; LAX; ARF; AUX/IAA; YUCCA	400	resources/source_tables/Figure2_v2_species_design_table.tsv;resources/source_tables/Figure3_usability_workflow_summary.tsv;resources/source_tables/Figure_7_known_module_benchmark_recovery_source.tsv;resources/source_tables/UGO_Omics_full_manuscript_draft_v4_1_0_real_references.md;resources/source_tables/UGO_Omics_full_manuscript_draft_v4_2_0_detailed_methods.md;resources/source_tables/UGO_Omics_full_manuscript_draft_v4_3_0_discovery_supported.md;resources/source_tables/UGO_Omics_full_polished_manuscript_draft_v3_9_0.md;resources/source_tables/UGO_Omics_full_polished_manuscript_draft_v4_0_0_with_citation_placeholders.md;resources/source_tables/UGO_v2_3_0_species_design_table_v1.tsv;resources/source_tables/UGO_v2_4_0_species_design_table_v1.tsv;resources/source_tables/UGO_v2_9_0_main_manuscript_skeleton_v1.md;resources/source_tables/UGO_v3_0_0_existing_figure_inventory_v1.tsv;resources/source_tables/UGO_v3_0_0_supplementary_item_mapping_v1.tsv;resources/source_tables/UGO_v3_7_0_polished_abstract_intro_results_1_to_3_combined_v1.md;resources/source_tables/UGO_v4_0_0_citation_insertion_applied_log_v1.tsv;resources/source_tables/UGO_v4_0_0_citation_insertion_rules_v1.tsv;docs/json/UGO_v2_3_0_species_design_table_v1.json;docs/json/UGO_v2_3_1_BUSCO_species_phylogeny_summary_v1.json;docs/json/UGO_v3_0_0_figure_polishing_inventory_summary_v1.json;docs/json/UGO_v3_6_0_final_figure_audit_summary_v1.json	anchor terms detected in current resource text
ANCHOR_HORMONE_002	hormone_regulation	gibberellin metabolism and signaling	GA20ox; GA2ox; GA3ox; DELLA; GID1	125	resources/source_tables/Figure5_known_category_benchmark_panel.tsv;resources/source_tables/Figure_7_known_module_benchmark_recovery_source.tsv;resources/source_tables/UGO_v2_6_0_known_gene_benchmark_panel_v1.tsv;docs/json/known_module_recovery_by_benchmark_module_v1.json;docs/json/known_module_recovery_by_candidate_v1.json;docs/json/orthogroup_browser_top_v2.json;docs/json/ugo_global_search_index_v1.json;docs/json/ugo_orthogroup_detail_v1.json;docs/json/ugo_score_explorer_v1.json;docs/json/ugo_v1_8_gene_to_ugo_v1.json;data/json/known_module_recovery_by_benchmark_module_v1.json;data/json/known_module_recovery_by_candidate_v1.json;data/json/orthogroup_browser_top_v2.json;resources/source_tables/Figure5_known_category_benchmark_panel.tsv;resources/source_tables/Figure_7_known_module_benchmark_recovery_source.tsv;resources/source_tables/UGO_v2_6_0_known_gene_benchmark_panel_v1.tsv;resources/supplementary_tables/Supplementary_Table_S8a_known_module_benchmark_seed_public_ready_v1.tsv;resources/supplementary_tables/Supplementary_Table_S8b_known_module_benchmark_recovery_public_ready_v1.tsv	anchor terms detected in current resource text
ANCHOR_HORMONE_003	hormone_regulation	cytokinin and branching/growth reactivation	IPT; LOG; CKX; AHK; ARR	12788	resources/source_tables/Figure2_v2_module_species_distribution.tsv;resources/source_tables/Figure2_v2_species_design_table.tsv;resources/source_tables/Figure4_discovery_case_module_evidence.tsv;resources/source_tables/Figure4_toolkit_module_index.tsv;resources/source_tables/Figure5_benchmark_category_recovery_summary.tsv;resources/source_tables/Figure5_benchmark_module_recovery_summary.tsv;resources/source_tables/Figure5_high_impact_discovery_case_module_evidence.tsv;resources/source_tables/Figure5_known_category_benchmark_panel.tsv;resources/source_tables/Figure_6_candidate_expansion_traceability_source.tsv;resources/source_tables/Figure_7_known_module_benchmark_recovery_caption.md;resources/source_tables/UGO_Omics_final_figure_order_and_redundancy_decision.tsv;resources/source_tables/UGO_Omics_full_manuscript_draft_v4_1_0_real_references.md;resources/source_tables/UGO_Omics_full_manuscript_draft_v4_2_0_detailed_methods.md;resources/source_tables/UGO_Omics_full_manuscript_draft_v4_3_0_discovery_supported.md;resources/source_tables/UGO_Omics_full_polished_manuscript_draft_v3_9_0.md;resources/source_tables/UGO_Omics_full_polished_manuscript_draft_v4_0_0_with_citation_placeholders.md;resources/source_tables/UGO_v2_3_0_11species_backbone_selection_v1.tsv;resources/source_tables/UGO_v2_3_0_species_design_table_v1.tsv;resources/source_tables/UGO_v2_3_2_1_patch_note_module_phylogenetic_distribution_v1.md;resources/source_tables/UGO_v2_3_2_2_text_cleanup_patch_note_v1.md	anchor terms detected in current resource text
ANCHOR_HORMONE_004	hormone_regulation	branching and bud-growth regulators	TB1; BRC1; MAX; D14; CCD7; CCD8	35	resources/source_tables/Figure_7_known_module_benchmark_recovery_source.tsv;resources/source_tables/UGO_Omics_full_manuscript_draft_v4_2_0_detailed_methods.md;resources/source_tables/UGO_Omics_full_manuscript_draft_v4_3_0_discovery_supported.md;resources/source_tables/UGO_v2_9_0_main_manuscript_skeleton_v1.md;resources/source_tables/UGO_v4_0_0_reference_placeholder_framework_v1.tsv;docs/json/candidate_browser_v2.json;docs/json/known_module_recovery_by_benchmark_module_v1.json;docs/json/ugo_global_search_index_v1.json;docs/json/ugo_v1_8_gene_to_ugo_v1.json;data/json/candidate_browser_v2.json;data/json/known_module_recovery_by_benchmark_module_v1.json;resources/source_tables/Figure_7_known_module_benchmark_recovery_source.tsv;resources/source_tables/UGO_Omics_full_manuscript_draft_v4_2_0_detailed_methods.md;resources/source_tables/UGO_Omics_full_manuscript_draft_v4_3_0_discovery_supported.md;resources/source_tables/UGO_v2_9_0_main_manuscript_skeleton_v1.md;resources/source_tables/UGO_v4_0_0_reference_placeholder_framework_v1.tsv;resources/supplementary_tables/Supplementary_Table_S8a_known_module_benchmark_seed_public_ready_v1.tsv;resources/supplementary_tables/Supplementary_Table_S8b_known_module_benchmark_recovery_public_ready_v1.tsv	anchor terms detected in current resource text
ANCHOR_STRESS_001	stress_resilience	abiotic stress transcription factors	DREB; ERF; NAC; WRKY; bZIP	755	resources/source_tables/Figure2_v2_module_species_distribution.tsv;resources/source_tables/Figure2_v2_species_design_table.tsv;resources/source_tables/Figure_6_candidate_expansion_traceability_source.tsv;resources/source_tables/Figure_7_known_module_benchmark_recovery_caption.md;resources/source_tables/Figure_7_known_module_benchmark_recovery_source.tsv;resources/source_tables/UGO_Omics_full_manuscript_draft_v4_1_0_real_references.md;resources/source_tables/UGO_Omics_full_manuscript_draft_v4_2_0_detailed_methods.md;resources/source_tables/UGO_Omics_full_manuscript_draft_v4_3_0_discovery_supported.md;resources/source_tables/UGO_Omics_full_polished_manuscript_draft_v3_9_0.md;resources/source_tables/UGO_Omics_full_polished_manuscript_draft_v4_0_0_with_citation_placeholders.md;resources/source_tables/UGO_v2_3_0_11species_backbone_selection_v1.tsv;resources/source_tables/UGO_v2_3_0_species_design_table_v1.tsv;resources/source_tables/UGO_v2_3_2_module_species_phylogenetic_distribution_v1.tsv;resources/source_tables/UGO_v2_4_0_module_species_phylogenetic_distribution_v1.tsv;resources/source_tables/UGO_v2_4_0_species_design_table_v1.tsv;resources/source_tables/UGO_v2_9_0_main_manuscript_skeleton_v1.md;resources/source_tables/UGO_v3_7_0_polished_abstract_intro_results_1_to_3_combined_v1.md;resources/source_tables/UGO_v4_0_0_citation_insertion_applied_log_v1.tsv;resources/source_tables/UGO_v4_0_0_citation_insertion_rules_v1.tsv;resources/source_tables/UGO_v4_0_0_reference_stub_list_v1.tsv	anchor terms detected in current resource text
ANCHOR_STRESS_002	stress_resilience	ABA and dormancy-associated stress signaling	PYR; PYL; PP2C; SnRK2; ABI3; ABI5	0		not detected by simple text scan; keep as biological anchor panel
ANCHOR_TF_001	developmental_tf	MADS-box developmental regulators	MADS; SOC1; SVP; AP1; AGL	94	resources/source_tables/Figure_7_known_module_benchmark_recovery_source.tsv;docs/json/known_module_recovery_by_benchmark_module_v1.json;docs/json/known_module_recovery_by_candidate_v1.json;docs/json/orthogroup_browser_top_v2.json;docs/json/ugo_global_search_index_v1.json;docs/json/ugo_orthogroup_detail_v1.json;docs/json/ugo_score_explorer_v1.json;docs/json/ugo_v1_8_gene_to_ugo_v1.json;data/json/known_module_recovery_by_benchmark_module_v1.json;data/json/known_module_recovery_by_candidate_v1.json;data/json/orthogroup_browser_top_v2.json;resources/source_tables/Figure_7_known_module_benchmark_recovery_source.tsv;resources/supplementary_tables/Supplementary_Table_S8a_known_module_benchmark_seed_public_ready_v1.tsv;resources/supplementary_tables/Supplementary_Table_S8b_known_module_benchmark_recovery_public_ready_v1.tsv	anchor terms detected in current resource text
