case_study	module_id	module_label	case_priority	anchor_id	anchor_family	representative_symbols	global_UGO_actionability_score	oryza_rhizome_relevance_bonus	oryza_rhizome_actionability_score	oryza_rhizome_priority_tier	oryza_rhizome_biological_interpretation	testable_hypothesis	claim_level
Oryza longistaminata rhizome	hormone_regulation	Hormone-related developmental switching	primary	ANCHOR_HORMONE_001	auxin transport and response	PIN; AUX1; LAX; ARF; AUX/IAA; YUCCA	0.94	0.05	0.95	Oryza rhizome Tier 1 priority	developmental-state switching, rhizome elongation, auxin/GA/cytokinin-mediated patterning, and bud outgrowth	Prioritize auxin-related orthogroups as candidates for underground organ initiation and patterning.	species-specific actionability hypothesis; no direct functional evidence claimed
Oryza longistaminata rhizome	hormone_regulation	Hormone-related developmental switching	primary	ANCHOR_HORMONE_004	branching and bud-growth regulators	TB1; BRC1; MAX; D14; CCD7; CCD8	0.94	0.05	0.95	Oryza rhizome Tier 1 priority	developmental-state switching, rhizome elongation, auxin/GA/cytokinin-mediated patterning, and bud outgrowth	Prioritize BRC1/TB1/MAX-related orthogroups in rhizomatous and clonal systems.	species-specific actionability hypothesis; no direct functional evidence claimed
Oryza longistaminata rhizome	hormone_regulation	Hormone-related developmental switching	primary	ANCHOR_HORMONE_003	cytokinin and branching/growth reactivation	IPT; LOG; CKX; AHK; ARR	0.938	0.05	0.95	Oryza rhizome Tier 1 priority	developmental-state switching, rhizome elongation, auxin/GA/cytokinin-mediated patterning, and bud outgrowth	Prioritize cytokinin-related orthogroups for regrowth and bud activation hypotheses.	species-specific actionability hypothesis; no direct functional evidence claimed
Oryza longistaminata rhizome	hormone_regulation	Hormone-related developmental switching	primary	ANCHOR_HORMONE_002	gibberellin metabolism and signaling	GA20ox; GA2ox; GA3ox; DELLA; GID1	0.94	0.05	0.95	Oryza rhizome Tier 1 priority	developmental-state switching, rhizome elongation, auxin/GA/cytokinin-mediated patterning, and bud outgrowth	Prioritize GA-related orthogroups for rhizome elongation, tuberization, and growth-state switching hypotheses.	species-specific actionability hypothesis; no direct functional evidence claimed
Oryza longistaminata rhizome	meristem_regrowth	Meristem/regrowth	primary	ANCHOR_MERISTEM_001	KNOX / STM-like shoot meristem regulators	STM; KN1; OSH1; KNOX	0.94	0.05	0.95	Oryza rhizome Tier 1 priority	rhizome initiation, underground shoot meristem maintenance, bud activity, and regenerative growth	Prioritize orthogroups containing KNOX/STM-like genes in species with rhizome or shoot-derived underground organs.	species-specific actionability hypothesis; no direct functional evidence claimed
Oryza longistaminata rhizome	meristem_regrowth	Meristem/regrowth	primary	ANCHOR_MERISTEM_003	LBD lateral organ and root developmental regulators	LBD; LBD16; LBD29	0.94	0.05	0.95	Oryza rhizome Tier 1 priority	rhizome initiation, underground shoot meristem maintenance, bud activity, and regenerative growth	Prioritize LBD-family orthogroups in storage-root and root/hypocotyl systems.	species-specific actionability hypothesis; no direct functional evidence claimed
Oryza longistaminata rhizome	meristem_regrowth	Meristem/regrowth	primary	ANCHOR_MERISTEM_002	WOX / WUS-related stem cell and regeneration regulators	WUS; WOX; WOX11; WOX5	0.94	0.05	0.95	Oryza rhizome Tier 1 priority	rhizome initiation, underground shoot meristem maintenance, bud activity, and regenerative growth	Prioritize WOX-family orthogroups as candidate regulators of regrowth potential.	species-specific actionability hypothesis; no direct functional evidence claimed
Oryza longistaminata rhizome	developmental_tf	Developmental transcriptional regulation	primary	ANCHOR_TF_002	GRAS / DELLA / SHR-SCR regulatory axis	GRAS; DELLA; SHR; SCR	0.924	0.01	0.934	Oryza rhizome Tier 1 priority	regulatory control of developmental transitions and organ identity-like programs	Prioritize GRAS-family orthogroups in root-derived and developmental-switching contexts.	species-specific actionability hypothesis; no direct functional evidence claimed
Oryza longistaminata rhizome	developmental_tf	Developmental transcriptional regulation	primary	ANCHOR_TF_001	MADS-box developmental regulators	MADS; SOC1; SVP; AP1; AGL	0.917	0.01	0.927	Oryza rhizome Tier 1 priority	regulatory control of developmental transitions and organ identity-like programs	Prioritize MADS-family orthogroups as candidate developmental-state regulators.	species-specific actionability hypothesis; no direct functional evidence claimed
Oryza longistaminata rhizome	stress_resilience	Stress resilience	supporting_core	ANCHOR_STRESS_001	abiotic stress transcription factors	DREB; ERF; NAC; WRKY; bZIP	0.908	0.005	0.913	Oryza rhizome Tier 2 priority	underground persistence, stress survival, and post-stress regrowth capacity	Prioritize stress-TF orthogroups as candidates for underground persistence and post-stress regrowth.	species-specific actionability hypothesis; no direct functional evidence claimed
Oryza longistaminata rhizome	stress_resilience	Stress resilience	supporting_core	ANCHOR_STRESS_002	ABA and dormancy-associated stress signaling	PYR; PYL; PP2C; SnRK2; ABI3; ABI5	0.904	0.005	0.909	Oryza rhizome Tier 2 priority	underground persistence, stress survival, and post-stress regrowth capacity	Prioritize ABA-related orthogroups for survival/dormancy modules in underground organs.	species-specific actionability hypothesis; no direct functional evidence claimed
Oryza longistaminata rhizome	cell_wall_remodeling	Cell-wall remodeling	supporting_structural	ANCHOR_CELLWALL_001	cell-wall loosening and expansion	EXP; expansin; XTH; XET	0.808	0.005	0.813	Oryza rhizome supporting priority	rhizome elongation, tissue expansion, and structural remodeling	Prioritize expansin/XTH orthogroups as structural-remodeling candidates.	species-specific actionability hypothesis; no direct functional evidence claimed
Oryza longistaminata rhizome	cell_wall_remodeling	Cell-wall remodeling	supporting_structural	ANCHOR_CELLWALL_002	pectin modification and wall plasticity	PME; PMEI; PG; PL	0.804	0.005	0.809	Oryza rhizome supporting priority	rhizome elongation, tissue expansion, and structural remodeling	Prioritize pectin-remodeling orthogroups in tuber and storage-root systems.	species-specific actionability hypothesis; no direct functional evidence claimed
