case_study	known_id	known_symbol_or_family	representative_symbols	UGO_module	matched_anchor_family	global_actionability_tier	global_actionability_score	oryza_case_relevance	case_interpretation	claim_level
Oryza longistaminata rhizome	KNOWN_MERISTEM_STM_KNOX	STM / KNOX	STM; KN1; OSH1; KNOX	meristem_regrowth	KNOX / STM-like shoot meristem regulators	Tier 1 high-actionability candidate family	0.94	primary_rhizome_case_relevance	rhizome initiation, underground shoot meristem maintenance, bud activity, and regenerative growth	known-regulator recovery supports Oryza rhizome hypothesis generation
Oryza longistaminata rhizome	KNOWN_MERISTEM_WUS_WOX	WUS / WOX	WUS; WOX; WOX11; WOX5	meristem_regrowth	WOX / WUS-related stem cell and regeneration regulators	Tier 1 high-actionability candidate family	0.94	primary_rhizome_case_relevance	rhizome initiation, underground shoot meristem maintenance, bud activity, and regenerative growth	known-regulator recovery supports Oryza rhizome hypothesis generation
Oryza longistaminata rhizome	KNOWN_ROOT_LBD	LBD	LBD; LBD16; LBD29	meristem_regrowth	LBD lateral organ and root developmental regulators	Tier 1 high-actionability candidate family	0.94	primary_rhizome_case_relevance	rhizome initiation, underground shoot meristem maintenance, bud activity, and regenerative growth	known-regulator recovery supports Oryza rhizome hypothesis generation
Oryza longistaminata rhizome	KNOWN_AUXIN_TRANSPORT_RESPONSE	auxin transport and response	PIN; AUX1; LAX; ARF; AUX/IAA; YUCCA	hormone_regulation	auxin transport and response	Tier 1 high-actionability candidate family	0.94	primary_rhizome_case_relevance	developmental-state switching, rhizome elongation, auxin/GA/cytokinin-mediated patterning, and bud outgrowth	known-regulator recovery supports Oryza rhizome hypothesis generation
Oryza longistaminata rhizome	KNOWN_GA_METABOLISM_SIGNALING	gibberellin metabolism and signaling	GA20ox; GA2ox; GA3ox; DELLA; GID1	hormone_regulation	gibberellin metabolism and signaling	Tier 1 high-actionability candidate family	0.94	primary_rhizome_case_relevance	developmental-state switching, rhizome elongation, auxin/GA/cytokinin-mediated patterning, and bud outgrowth	known-regulator recovery supports Oryza rhizome hypothesis generation
Oryza longistaminata rhizome	KNOWN_CYTOKININ_BUD_ACTIVITY	cytokinin metabolism and signaling	IPT; LOG; CKX; AHK; ARR	hormone_regulation	cytokinin and branching/growth reactivation	Tier 1 high-actionability candidate family	0.938	primary_rhizome_case_relevance	developmental-state switching, rhizome elongation, auxin/GA/cytokinin-mediated patterning, and bud outgrowth	known-regulator recovery supports Oryza rhizome hypothesis generation
Oryza longistaminata rhizome	KNOWN_BRANCHING_BUD_OUTGROWTH	TB1 / BRC1 / MAX	TB1; BRC1; MAX; D14; CCD7; CCD8	hormone_regulation	branching and bud-growth regulators	Tier 1 high-actionability candidate family	0.94	primary_rhizome_case_relevance	developmental-state switching, rhizome elongation, auxin/GA/cytokinin-mediated patterning, and bud outgrowth	known-regulator recovery supports Oryza rhizome hypothesis generation
Oryza longistaminata rhizome	KNOWN_STRESS_TF	stress-associated transcription factors	DREB; ERF; NAC; WRKY; bZIP	stress_resilience	abiotic stress transcription factors	Tier 1 high-actionability candidate family	0.908	supporting_rhizome_case_relevance	underground persistence, stress survival, and post-stress regrowth capacity	known-regulator recovery supports Oryza rhizome hypothesis generation
Oryza longistaminata rhizome	KNOWN_ABA_DORMANCY_STRESS	ABA signaling and dormancy-associated stress control	PYR; PYL; PP2C; SnRK2; ABI3; ABI5	stress_resilience	ABA and dormancy-associated stress signaling	Tier 1 high-actionability candidate family	0.904	supporting_rhizome_case_relevance	underground persistence, stress survival, and post-stress regrowth capacity	known-regulator recovery supports Oryza rhizome hypothesis generation
Oryza longistaminata rhizome	KNOWN_MADS_DEVELOPMENTAL_SWITCH	MADS-box developmental regulators	MADS; SOC1; SVP; AP1; AGL	developmental_tf	MADS-box developmental regulators	Tier 1 high-actionability candidate family	0.917	primary_rhizome_case_relevance	regulatory control of developmental transitions and organ identity-like programs	known-regulator recovery supports Oryza rhizome hypothesis generation
Oryza longistaminata rhizome	KNOWN_GRAS_DEVELOPMENTAL_CONTROL	GRAS / DELLA / SHR-SCR	GRAS; DELLA; SHR; SCR	developmental_tf	GRAS / DELLA / SHR-SCR regulatory axis	Tier 1 high-actionability candidate family	0.924	primary_rhizome_case_relevance	regulatory control of developmental transitions and organ identity-like programs	known-regulator recovery supports Oryza rhizome hypothesis generation
Oryza longistaminata rhizome	KNOWN_EXPANSIN_XTH_EXPANSION	EXP / XTH	EXP; expansin; XTH; XET	cell_wall_remodeling	cell-wall loosening and expansion	Tier 2 actionable candidate family	0.808	supporting_rhizome_case_relevance	rhizome elongation, tissue expansion, and structural remodeling	known-regulator recovery supports Oryza rhizome hypothesis generation
Oryza longistaminata rhizome	KNOWN_PECTIN_REMODELING	pectin remodeling	PME; PMEI; PG; PL	cell_wall_remodeling	pectin modification and wall plasticity	Tier 2 actionable candidate family	0.804	supporting_rhizome_case_relevance	rhizome elongation, tissue expansion, and structural remodeling	known-regulator recovery supports Oryza rhizome hypothesis generation
Oryza longistaminata rhizome	KNOWN_STORAGE_METABOLISM	carbohydrate transport and storage metabolism	SWEET; SUT; SUS; AGPase; GBSS	future_storage_metabolism	carbohydrate transport and storage metabolism	Future expansion candidate family	0.306	secondary_or_future	not a primary rhizome case-study module in the current UGO model	known-regulator recovery supports Oryza rhizome hypothesis generation
